apt_group,adaptability_index,avg_new_rate,avg_drop_rate,year_span,years_tracked,total_techniques
APT28,0.731,0.429,0.571,9,9,92
Lazarus Group,0.687,0.413,0.587,8,7,91
Kimsuky,0.683,0.514,0.482,7,7,124
FIN7,0.675,0.556,0.444,8,8,65
OilRig,0.671,0.5,0.5,8,7,74
Gamaredon Group,0.656,0.548,0.452,8,6,69
MuddyWater,0.646,0.5,0.5,8,6,66
Threat Group-3390,0.646,0.401,0.599,8,8,56
Turla,0.623,0.448,0.552,7,7,64
APT29,0.622,0.474,0.526,7,7,62
Magic Hound,0.611,0.463,0.537,6,7,74
Ke3chang,0.606,0.427,0.573,8,6,44
APT32,0.599,0.44,0.556,6,6,76
APT3,0.578,0.453,0.542,7,6,43
Patchwork,0.578,0.347,0.653,8,5,39
Leviathan,0.57,0.421,0.579,7,5,47
APT41,0.563,0.421,0.579,5,5,80
APT38,0.549,0.503,0.497,6,4,55
Sandworm Team,0.53,0.458,0.542,4,5,74
WIRTE,0.529,0.595,0.405,7,3,25
Mustang Panda,0.525,0.423,0.577,4,4,81
APT-C-36,0.517,0.758,0.242,6,2,33
APT39,0.498,0.309,0.691,5,4,52
Tropic Trooper,0.496,0.316,0.684,6,3,40
FIN8,0.487,0.451,0.549,5,4,35
menuPass,0.481,0.396,0.604,4,5,45
TeamTNT,0.475,0.313,0.687,4,4,55
Axiom,0.468,0.556,0.444,5,4,16
Rancor,0.468,0.381,0.619,6,4,9
TA505,0.459,0.377,0.623,4,5,32
HAFNIUM,0.457,0.434,0.566,4,3,43
Scattered Spider,0.452,0.659,0.341,2,3,62
Darkhotel,0.442,0.57,0.43,4,3,24
Volt Typhoon,0.44,0.281,0.719,2,3,79
Naikon,0.436,0.667,0.333,4,3,14
APT19,0.434,0.276,0.724,5,3,20
ZIRCONIUM,0.434,0.333,0.653,4,4,28
Dragonfly,0.43,0.963,0.037,1,2,54
FIN6,0.43,0.506,0.494,3,3,39
Wizard Spider,0.426,0.274,0.71,3,2,62
Winnti Group,0.423,0.5,0.5,5,2,6
Indrik Spider,0.417,0.487,0.513,3,3,32
APT37,0.414,0.375,0.625,3,4,29
Chimera,0.414,0.741,0.259,1,2,58
Molerats,0.414,0.812,0.188,3,2,16
RTM,0.405,0.857,0.143,3,2,7
SilverTerrier,0.405,0.5,0.5,4,3,4
APT33,0.402,0.639,0.361,2,3,30
Fox Kitten,0.397,0.163,0.837,3,3,40
APT1,0.395,0.442,0.558,3,3,20
CopyKittens,0.392,0.333,0.667,4,3,7
Aquatic Panda,0.391,0.606,0.394,2,2,33
Mofang,0.39,0.167,0.833,5,2,6
Higaisa,0.385,0.071,0.929,4,2,28
Cobalt Group,0.381,0.389,0.611,2,3,33
Cleaver,0.38,0.667,0.333,3,2,3
APT18,0.377,0.381,0.619,3,3,12
Equation,0.377,0.5,0.5,3,3,4
Earth Lusca,0.371,0.025,0.975,3,2,40
BRONZE BUTLER,0.367,0.282,0.718,2,2,39
Carbanak,0.365,0.321,0.679,3,3,8
GCMAN,0.361,0.5,0.5,3,2,2
BlackTech,0.36,0.479,0.521,2,3,13
CURIUM,0.36,0.789,0.211,1,2,19
Silence,0.349,0.556,0.444,1,2,27
Machete,0.347,0.371,0.629,2,3,11
Strider,0.346,0.333,0.667,3,2,3
Stealth Falcon,0.345,0.125,0.875,3,2,16
Leafminer,0.342,0.375,0.625,2,2,16
Deep Panda,0.339,0.306,0.694,2,3,10
Windshift,0.339,0.579,0.421,1,2,19
GALLIUM,0.336,0.1,0.9,2,2,30
HEXANE,0.334,0.029,0.971,2,2,34
FIN10,0.333,0.1,0.9,3,2,10
Poseidon Group,0.333,0.125,0.875,3,2,8
Mustard Tempest,0.329,0.583,0.417,1,2,12
LAPSUS$,0.328,0.15,0.85,1,2,40
Sidewinder,0.326,0.036,0.964,2,2,28
admin@338,0.324,0.25,0.75,2,2,12
TA2541,0.323,0.038,0.962,2,2,26
LazyScripter,0.313,0.316,0.684,1,2,19
Star Blizzard,0.312,0.059,0.941,2,2,17
Elderwood,0.305,0.111,0.889,2,2,9
APT42,0.303,0.032,0.968,1,2,31
Confucius,0.302,0.211,0.789,1,2,19
APT5,0.3,0.034,0.966,1,2,29
Cinnamon Tempest,0.291,0.111,0.889,1,2,18
Sea Turtle,0.29,0.08,0.88,1,2,25
Gorgon Group,0.282,0.067,0.933,1,2,15
APT12,0.28,0.2,0.8,1,2,5
Volatile Cedar,0.28,0.2,0.8,1,2,5
FIN4,0.279,0.083,0.917,1,2,12
DarkHydrus,0.278,0.167,0.833,1,2,6
PLATINUM,0.278,0.091,0.909,1,2,11
