APT_Group,Technique,Year
APT28,Encrypted/Encoded File,2017
TA2541,Internet Connection Discovery,2023
APT39,Tool,2021
Kimsuky,Security Software Discovery,2022
Fox Kitten,Local Account,2020
Turla,Exploitation for Privilege Escalation,2021
Wizard Spider,Dynamic-link Library Injection,2020
Volt Typhoon,Private Keys,2024
Volt Typhoon,System Network Configuration Discovery,2023
Tropic Trooper,Encrypted Channel,2020
FIN5,Tool,2021
MuddyWater,Visual Basic,2020
Storm-1811,SSH,2025
Gamaredon Group,Automated Collection,2020
Gorgon Group,Hidden Window,2019
Moses Staff,Tool,2022
HAFNIUM,Botnet,2025
TA505,Malicious File,2019
FIN8,Spearphishing Link,2018
APT39,Scheduled Task,2019
Turla,Data from Local System,2019
Thrip,Tool,2021
FIN4,Spearphishing Attachment,2019
Rocke,File Deletion,2020
menuPass,Fast Flux DNS,2020
VOID MANTICORE,Group Policy Modification,2026
Gamaredon Group,Hidden Window,2022
APT32,PowerShell,2017
APT29,Cloud API,2023
menuPass,Trusted Relationship,2018
Turla,System Time Discovery,2017
Earth Lusca,Web Services,2022
Sea Turtle,Tool,2025
Sandworm Team,Windows Management Instrumentation,2021
Threat Group-3390,Deobfuscate/Decode Files or Information,2018
APT-C-36,Malicious File,2020
Gamaredon Group,Match Legitimate Resource Name or Location,2022
Mofang,Malicious File,2020
Transparent Tribe,Drive-by Compromise,2021
Naikon,Network Service Discovery,2021
Patchwork,Registry Run Keys / Startup Folder,2017
APT41,Ingress Tool Transfer,2020
Turla,Local Accounts,2020
Magic Hound,Visual Basic,2018
HAFNIUM,Account Manipulation,2023
ZIRCONIUM,System Information Discovery,2021
Fox Kitten,Brute Force,2020
Orangeworm,SMB/Windows Admin Shares,2018
Kimsuky,Deobfuscate/Decode Files or Information,2022
TeamTNT,System Network Connections Discovery,2021
APT28,Office Test,2017
APT37,Credentials from Web Browsers,2018
POLONIUM,Exfiltration to Cloud Storage,2022
Scattered Spider,Messaging Applications,2024
Aquatic Panda,System Information Discovery,2022
Saint Bear,Web Services,2024
CopyKittens,Code Signing,2018
Mustard Tempest,Domains,2024
APT19,Malicious File,2018
Kimsuky,Phishing for Information,2024
Windshift,Security Software Discovery,2021
Kimsuky,Component Object Model,2026
Silence,Spearphishing Attachment,2019
Moonstone Sleet,Spearphishing via Service,2024
FIN6,Windows Command Shell,2020
APT32,Web Service,2020
Ke3chang,Malware,2022
LAPSUS$,Credentials,2022
Play,File Deletion,2024
