technique,threat_score,defence_score,gap_score,priority,total_groups,has_defence,available_defences,is_emerging,convergence_alerts
Impersonation,0.664,0.667,0.464,Critical,15,True,Threat Intelligence Program | User Training,True,4
Local Storage Discovery,0.306,0.0,0.306,Critical,10,False,No mapped defence,True,4
Registry Run Keys / Startup Folder,0.225,0.0,0.225,High,56,False,No mapped defence,False,8
Security Software Discovery,0.224,0.0,0.224,High,27,False,No mapped defence,True,9
File and Directory Discovery,0.208,0.0,0.208,High,51,False,No mapped defence,False,9
System Information Discovery,0.208,0.0,0.208,High,57,False,No mapped defence,False,9
Remote System Discovery,0.191,0.0,0.191,High,40,False,No mapped defence,False,9
Domain Groups,0.185,0.0,0.185,High,13,False,No mapped defence,True,6
File Deletion,0.182,0.0,0.182,High,47,False,No mapped defence,False,9
System Owner/User Discovery,0.169,0.0,0.169,High,40,False,No mapped defence,False,9
Email Addresses,0.259,0.333,0.159,High,14,True,Pre-compromise,True,4
Deobfuscate/Decode Files or Information,0.145,0.0,0.145,Medium,38,False,No mapped defence,False,8
System Network Configuration Discovery,0.14,0.0,0.14,Medium,43,False,No mapped defence,False,9
Process Discovery,0.13,0.0,0.13,Medium,41,False,No mapped defence,False,9
Masquerade Task or Service,0.126,0.0,0.126,Medium,23,False,No mapped defence,False,7
System Network Connections Discovery,0.122,0.0,0.122,Medium,32,False,No mapped defence,False,8
Local Data Staging,0.12,0.0,0.12,Medium,28,False,No mapped defence,False,9
Code Signing,0.115,0.0,0.115,Medium,27,False,No mapped defence,False,9
Data from Local System,0.212,0.333,0.112,Medium,45,True,Data Loss Prevention,False,8
Domains,0.207,0.333,0.107,Medium,46,True,Pre-compromise,False,7
Archive via Utility,0.197,0.333,0.097,Medium,39,True,Audit,False,9
Query Registry,0.095,0.0,0.095,Medium,19,False,No mapped defence,False,8
Screen Capture,0.093,0.0,0.093,Medium,19,False,No mapped defence,False,7
Multi-hop Proxy,0.189,0.333,0.089,Medium,11,True,Filter Network Traffic,True,5
Lateral Tool Transfer,0.282,0.667,0.082,Medium,19,True,Filter Network Traffic | Network Intrusion Prevention,True,6
Keylogging,0.08,0.0,0.08,Medium,26,False,No mapped defence,False,8
System Time Discovery,0.079,0.0,0.079,Medium,14,False,No mapped defence,False,6
Binary Padding,0.076,0.0,0.076,Medium,8,False,No mapped defence,False,2
Windows Command Shell,0.175,0.333,0.075,Medium,73,True,Execution Prevention,False,9
Reflective Code Loading,0.072,0.0,0.072,Medium,4,False,No mapped defence,False,1
Disable or Modify System Firewall,0.371,1.0,0.071,Medium,13,True,Audit | Restrict File and Directory Permissions | Restrict Registry Permissions | User Account Management,True,4
Internal Spearphishing,0.066,0.0,0.066,Medium,6,False,No mapped defence,False,2
Timestomp,0.066,0.0,0.066,Medium,11,False,No mapped defence,False,5
System Service Discovery,0.063,0.0,0.063,Medium,15,False,No mapped defence,False,6
Remote Data Staging,0.062,0.0,0.062,Medium,11,False,No mapped defence,False,5
Data from Network Shared Drive,0.061,0.0,0.061,Medium,8,False,No mapped defence,False,3
Compile After Delivery,0.059,0.0,0.059,Medium,4,False,No mapped defence,False,1
Internet Connection Discovery,0.059,0.0,0.059,Medium,11,False,No mapped defence,False,3
Digital Certificates,0.154,0.333,0.054,Medium,11,True,Pre-compromise,True,6
Web Protocols,0.252,0.667,0.052,Medium,57,True,Filter Network Traffic | Network Intrusion Prevention,False,9
Browser Information Discovery,0.049,0.0,0.049,Low,7,False,No mapped defence,False,2
Email Accounts,0.146,0.333,0.046,Low,27,True,Pre-compromise,False,7
Data Staged,0.045,0.0,0.045,Low,5,False,No mapped defence,False,2
Archive via Custom Method,0.044,0.0,0.044,Low,7,False,No mapped defence,False,3
Upload Malware,0.143,0.333,0.043,Low,27,True,Pre-compromise,False,5
Hidden Files and Directories,0.042,0.0,0.042,Low,12,False,No mapped defence,False,5
Rundll32,0.142,0.333,0.042,Low,26,True,Exploit Protection,False,8
Additional Local or Domain Groups,0.04,0.0,0.04,Low,7,False,No mapped defence,False,3
Local Groups,0.038,0.0,0.038,Low,7,False,No mapped defence,False,2
System Checks,0.038,0.0,0.038,Low,7,False,No mapped defence,False,2
Exfiltration to Cloud Storage,0.136,0.333,0.036,Low,25,True,Restrict Web-Based Content,False,7
Input Capture,0.035,0.0,0.035,Low,3,False,No mapped defence,False,0
Permission Groups Discovery,0.033,0.0,0.033,Low,6,False,No mapped defence,False,2
Peripheral Device Discovery,0.031,0.0,0.031,Low,9,False,No mapped defence,False,4
