apt_group,nation,cluster,pca_x,pca_y
APT28,Russia,4,-0.0018370743908901134,-0.027562053722508778
TA2541,Others,2,0.4694574663220444,0.10892863737007616
Kimsuky,North Korea,2,0.07481117521123117,0.4101958938966753
Fox Kitten,Iran,4,-0.5810494862309689,0.22800584331976964
Turla,Russia,2,-0.3010098331289658,0.021314233572580617
Wizard Spider,Others,4,-0.3572114341319438,0.07316049036137796
Volt Typhoon,China,4,-0.4121851496950196,0.0010878758378574877
Tropic Trooper,Others,4,-0.04090005603950442,-0.6299496055075193
MuddyWater,Iran,2,0.017205806501886887,0.11937432595502571
Storm-1811,Others,4,0.037876195084214186,-0.08642794848337877
Gamaredon Group,Russia,2,-0.027077709212412145,0.07605177122018389
Gorgon Group,Others,3,0.1884036734556022,-0.2741284553519442
HAFNIUM,Others,4,-0.2374810201938134,0.19820372753039642
TA505,Others,2,0.24537544280577878,0.15823128081241417
FIN8,Others,1,-0.22576626968574454,0.14406277028126924
APT39,Iran,4,-0.29211437560401593,-0.20155765201421
FIN4,Others,3,0.5519629677164549,0.03428609564033097
Rocke,Others,4,-0.2603707427876174,-0.5158093069058679
menuPass,China,4,-0.26639718442740434,-0.23668689523499917
VOID MANTICORE,Others,2,-0.23843559064943645,0.6633615675787677
APT32,Others,2,-0.0827681352438762,0.0821078355454433
APT29,Russia,4,0.1699384087821585,0.16439211339693335
Earth Lusca,China,2,0.06518752708234328,0.3368042727615219
Sandworm Team,Russia,2,-0.034609700197708246,0.5140907945290016
Threat Group-3390,Others,4,-0.08506507770318465,-0.08084669715814947
APT-C-36,Others,2,0.4022880626678735,0.42928508423390266
Mofang,Others,3,1.032481862832664,-0.06864998099001969
Transparent Tribe,Others,2,0.9505339608797494,0.0009465749829414682
Naikon,Others,3,-0.11553478598756231,-0.44182125713175846
Patchwork,Others,4,0.1409276616161904,-0.2553109894258125
APT41,China,4,-0.5307293321724171,-0.3206012694395777
Magic Hound,Iran,2,-0.1354287004434846,0.28634904551987694
ZIRCONIUM,Others,2,0.31770277618455695,0.2033727748629944
Orangeworm,Others,1,-0.7401676804116732,-0.27556973393512213
TeamTNT,Others,4,-0.354593161761892,-0.4210724129768732
APT37,North Korea,3,0.23156497649121635,-0.3927500639095252
POLONIUM,Iran,2,-0.1209003376398961,1.0547177797784204
Scattered Spider,Others,4,-0.22527226072571616,0.5333346178753526
Aquatic Panda,China,4,-0.5961792837597092,-0.13010401025774618
Saint Bear,Others,2,0.5374287521127941,0.30396432292387277
CopyKittens,Others,4,-0.43877186174088195,0.20155205375251686
Mustard Tempest,Others,2,0.553074629572949,0.393611962147608
APT19,China,2,0.059755602793918595,-0.36165472208097754
Windshift,Others,3,0.46901478555270143,-0.2981580805213522
Silence,Others,4,-0.13943851540369928,0.13048476409942658
Moonstone Sleet,Others,2,0.3022608006532955,0.39716096550923097
FIN6,Others,4,-0.3258757044131877,-0.011471636633575342
LAPSUS$,Others,4,-0.09428273018051855,0.6341710394460932
Play,Others,1,-0.7987887886525739,0.0236043641920129
BlackTech,China,3,0.497942163505815,-0.3477811885898699
FIN7,Others,2,-0.0458114311633799,0.2761104472182961
OilRig,Iran,4,-0.17867596059311436,-0.17878055810922006
INC Ransom,Others,1,-0.7834780111963965,0.052855793291993594
Aoqin Dragon,Others,4,0.3114607095326389,-0.5990409877820789
MirrorFace,Others,4,-0.35556944799827794,-0.1498475348889967
Molerats,Others,2,0.536605066396876,0.04018249756458947
Chimera,China,4,-0.677190797177249,0.0008793352916012274
UNC3886,Others,4,-0.3204947162490766,-0.2779503876630439
HEXANE,Others,2,0.06710980128774671,0.41613812090957114
Sowbug,Others,4,-0.3922446710891501,-0.43189862790937306
Mustang Panda,China,2,0.041772315328669846,0.16622359696546907
WIRTE,Others,2,0.3478942689640823,0.20465177978148677
Medusa Group,Others,1,-0.52853391920021,0.3724773720949234
Moses Staff,Others,4,-0.5391146113771174,-0.08713720815245062
LazyScripter,Others,2,0.520374115685495,0.2949538797823156
BRONZE BUTLER,China,4,0.10988471342389781,-0.3582647496099679
GOLD SOUTHFIELD,Others,1,-0.44831715720967497,0.48394679891753384
Salt Typhoon,Others,4,-0.46226794149686345,-0.0024417952177980353
Group5,Others,4,0.005653311606007589,-0.5368658803917397
APT38,North Korea,4,-0.13278996389590852,-0.19535319825299502
Lazarus Group,North Korea,2,-0.043669126312277554,0.08986898485766445
