apt_group,evolution_score,years_active,total_techniques,first_seen,last_seen
Kimsuky,0.689,7,124,2019,2026
FIN7,0.669,8,65,2017,2025
Gamaredon Group,0.662,6,69,2017,2025
MuddyWater,0.659,6,66,2018,2026
OilRig,0.657,7,74,2017,2025
APT28,0.652,9,92,2017,2026
APT29,0.644,7,62,2017,2024
APT32,0.643,6,76,2017,2023
Turla,0.642,7,64,2017,2024
Lazarus Group,0.639,7,91,2017,2025
Magic Hound,0.628,7,74,2018,2024
Threat Group-3390,0.627,8,56,2017,2025
APT38,0.614,4,55,2019,2025
Scattered Spider,0.613,3,62,2023,2025
Ke3chang,0.611,6,44,2017,2025
APT41,0.607,5,80,2019,2024
APT3,0.6,6,43,2017,2024
Leviathan,0.597,5,47,2018,2025
APT-C-36,0.592,2,33,2020,2026
Patchwork,0.59,5,39,2017,2025
Dragonfly,0.585,2,54,2020,2021
Mustang Panda,0.58,4,81,2021,2025
APT39,0.57,4,52,2019,2024
Aquatic Panda,0.568,2,33,2022,2024
WIRTE,0.565,3,25,2019,2026
APT33,0.563,3,30,2018,2020
Chimera,0.563,2,58,2020,2021
menuPass,0.563,5,45,2017,2021
Axiom,0.562,4,16,2017,2022
Sandworm Team,0.562,5,74,2020,2024
FIN6,0.553,3,39,2017,2020
FIN8,0.549,4,35,2018,2023
TA505,0.546,5,32,2019,2023
Darkhotel,0.538,3,24,2017,2021
HAFNIUM,0.536,3,43,2021,2025
TeamTNT,0.536,4,55,2021,2025
Tropic Trooper,0.533,3,40,2019,2025
CURIUM,0.53,2,19,2023,2024
Rancor,0.525,4,9,2018,2024
Molerats,0.522,2,16,2017,2020
Naikon,0.522,3,14,2017,2021
ZIRCONIUM,0.516,4,28,2021,2025
APT37,0.514,4,29,2018,2021
Indrik Spider,0.514,3,32,2021,2024
Silence,0.507,2,27,2019,2020
APT1,0.505,3,20,2017,2020
Volt Typhoon,0.504,3,79,2023,2025
Wizard Spider,0.502,2,62,2020,2023
APT18,0.484,3,12,2017,2020
Windshift,0.479,2,19,2020,2021
Equation,0.478,3,4,2017,2020
RTM,0.474,2,7,2017,2020
SilverTerrier,0.471,3,4,2019,2023
Cobalt Group,0.47,3,33,2018,2020
BRONZE BUTLER,0.468,2,39,2018,2020
BlackTech,0.468,3,13,2020,2022
Machete,0.461,3,11,2019,2021
Carbanak,0.456,3,8,2017,2020
CopyKittens,0.451,3,7,2018,2022
Mustard Tempest,0.45,2,12,2023,2024
APT19,0.449,3,20,2018,2023
Fox Kitten,0.448,3,40,2020,2023
Leafminer,0.44,2,16,2018,2020
Deep Panda,0.436,3,10,2017,2019
Winnti Group,0.426,2,6,2017,2022
Cleaver,0.425,2,3,2017,2020
LazyScripter,0.415,2,19,2021,2022
admin@338,0.405,2,12,2017,2019
GCMAN,0.4,2,2,2017,2020
LAPSUS$,0.399,2,40,2022,2023
Confucius,0.39,2,19,2021,2022
GALLIUM,0.39,2,30,2019,2021
Strider,0.384,2,3,2017,2020
Mofang,0.378,2,6,2020,2025
Elderwood,0.376,2,9,2018,2020
Star Blizzard,0.371,2,17,2024,2026
Stealth Falcon,0.37,2,16,2017,2020
Sidewinder,0.369,2,28,2021,2023
TA2541,0.369,2,26,2023,2025
HEXANE,0.368,2,34,2022,2024
Higaisa,0.367,2,28,2021,2025
APT12,0.366,2,5,2019,2020
Volatile Cedar,0.366,2,5,2021,2022
Cinnamon Tempest,0.365,2,18,2023,2024
DarkHydrus,0.363,2,6,2018,2019
Poseidon Group,0.363,2,8,2017,2020
Sea Turtle,0.361,2,25,2024,2025
FIN10,0.36,2,10,2017,2020
FIN4,0.355,2,12,2019,2020
PLATINUM,0.355,2,11,2018,2019
Earth Lusca,0.353,2,40,2022,2025
Gorgon Group,0.353,2,15,2018,2019
APT5,0.35,2,29,2024,2025
APT42,0.349,2,31,2025,2026
APT16,0.0,1,1,2020,2020
APT17,0.0,1,2,2020,2020
APT30,0.0,1,2,2020,2020
Agrius,0.0,1,22,2024,2024
Ajax Security Team,0.0,1,6,2021,2021
Akira,0.0,1,17,2024,2024
Andariel,0.0,1,11,2021,2021
Aoqin Dragon,0.0,1,7,2022,2022
AppleJeus,0.0,1,2,2025,2025
BITTER,0.0,1,15,2022,2022
BackdoorDiplomacy,0.0,1,13,2021,2021
BlackByte,0.0,1,47,2024,2024
BlackOasis,0.0,1,1,2018,2018
Blue Mockingbird,0.0,1,21,2020,2020
Contagious Interview,0.0,1,50,2025,2025
Daggerfly,0.0,1,17,2024,2024
Dark Caracal,0.0,1,12,2018,2018
DarkVishnya,0.0,1,9,2020,2020
EXOTIC LILY,0.0,1,15,2022,2022
Ember Bear,0.0,1,45,2024,2024
Evilnum,0.0,1,11,2021,2021
FIN13,0.0,1,51,2023,2023
FIN5,0.0,1,10,2018,2018
Ferocious Kitten,0.0,1,5,2021,2021
GOLD SOUTHFIELD,0.0,1,9,2020,2020
Gallmaker,0.0,1,6,2019,2019
Group5,0.0,1,4,2017,2017
INC Ransom,0.0,1,24,2024,2024
Inception,0.0,1,21,2020,2020
IndigoZebra,0.0,1,6,2021,2021
Lotus Blossom,0.0,1,20,2025,2025
LuminousMoth,0.0,1,25,2023,2023
Malteiro,0.0,1,12,2024,2024
Medusa Group,0.0,1,56,2025,2025
Metador,0.0,1,7,2023,2023
MirrorFace,0.0,1,41,2026,2026
Moafee,0.0,1,1,2017,2017
