apt_group,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,nation,pca_x,pca_y,cluster
APT28,0.01677452214062214,-0.30697059631347656,0.31234779953956604,-0.008122128434479237,0.10027412325143814,-0.32191628217697144,0.13625463843345642,-0.1312495917081833,-0.3042260706424713,0.16283157467842102,-0.026125675067305565,-0.019268494099378586,0.019631171599030495,0.22785763442516327,0.24521881341934204,-0.3621101677417755,0.0816756933927536,0.2936798632144928,0.09238222241401672,0.056137651205062866,0.12945468723773956,0.2895813584327698,0.32300665974617004,0.09743676334619522,-0.1117125079035759,-0.3278650939464569,0.5265578627586365,-0.27357789874076843,-0.02829497866332531,0.05416994169354439,0.15068140625953674,0.1760515719652176,-0.07768494635820389,0.03635391220450401,0.16723687946796417,0.25715023279190063,0.22206826508045197,-0.12247440963983536,0.195471853017807,0.5578699707984924,0.599283754825592,0.16029968857765198,-0.05012907832860947,0.08562200516462326,0.14903615415096283,0.019602375105023384,0.05996670573949814,-0.04002661257982254,-0.46365493535995483,0.2993317246437073,-0.045636292546987534,0.18238705396652222,-0.027350421994924545,0.12522068619728088,0.12623390555381775,0.052714474499225616,-0.2067086547613144,-0.10711639374494553,0.23219849169254303,0.21534377336502075,0.22994568943977356,0.05978333204984665,-0.3424280285835266,0.179952010512352,Russia,-0.0018370743908901134,-0.027562053722508778,4
TA2541,0.23630408942699432,-0.04335379973053932,-0.04728492349386215,0.12810029089450836,-0.28813549876213074,0.04061432555317879,-0.17901241779327393,-0.445808470249176,-0.32625919580459595,-0.0070712068118155,-0.01349718775600195,-0.2562139630317688,-0.18287883698940277,0.02433551475405693,-0.3051338493824005,-0.06701163947582245,-0.05535099655389786,-0.09840226173400879,-0.04666905850172043,-0.39822542667388916,0.26188796758651733,-0.3197243809700012,-0.2307940125465393,-0.04761529341340065,-0.26505589485168457,-0.1073802262544632,-0.006124693900346756,0.4373525381088257,-0.19900183379650116,-0.19205541908740997,0.09812000393867493,0.07685521245002747,-0.004358089063316584,-0.04132140427827835,-0.05198250710964203,-0.41567495465278625,0.20817987620830536,-0.1878627985715866,0.05198565870523453,-0.012571604922413826,0.07099433988332748,0.39867347478866577,0.3587805926799774,0.10032393783330917,0.17794814705848694,0.21982797980308533,-0.0008383303647860885,0.11473638564348221,-0.10410335659980774,-0.11767219007015228,-0.09095107764005661,-0.1689853072166443,-0.2132115662097931,-0.10966861993074417,-0.2636069655418396,0.10984540730714798,-0.3984915018081665,-0.038844894617795944,-0.08956240862607956,-0.17485906183719635,0.2916991412639618,0.09285515546798706,-0.39881977438926697,0.0843067616224289,Others,0.4694574663220444,0.10892863737007616,2
Kimsuky,0.35180118680000305,-0.32649707794189453,0.016176234930753708,0.2760389447212219,-0.06562089920043945,-0.16380161046981812,-0.19750162959098816,0.07473267614841461,-0.08408581465482712,0.15215739607810974,0.14598162472248077,-0.20946018397808075,0.14631381630897522,0.2687220871448517,0.06233071908354759,-0.3919997811317444,0.1674433946609497,0.3137626647949219,-0.14564454555511475,-0.4016750752925873,-0.05400194972753525,0.011513527482748032,-0.034046903252601624,-0.22490717470645905,-0.17126058042049408,0.10619369894266129,0.3433624804019928,0.10661707818508148,-0.20969976484775543,-0.10473354905843735,-0.10822790116071701,-0.0630185455083847,0.11868663877248764,-0.004218044690787792,-0.02097821794450283,-0.06637267768383026,0.12339341640472412,-0.003212930867448449,-0.017236923798918724,-0.17737051844596863,0.22922702133655548,-0.06919542700052261,-0.08165640383958817,-0.3619081974029541,-0.31965136528015137,0.05067893862724304,0.02323538437485695,0.09346994757652283,0.3872252106666565,-0.1457715779542923,0.06832751631736755,-0.171046644449234,0.16053089499473572,-0.15153886377811432,-0.14469967782497406,0.08681057393550873,-0.2839626967906952,-0.30951982736587524,0.42124149203300476,0.13610313832759857,-0.061316948384046555,0.08854074031114578,-0.4914861023426056,0.11714908480644226,North Korea,0.07481117521123117,0.4101958938966753,2
Fox Kitten,-0.02100372686982155,-0.15852627158164978,0.15629597008228302,0.20336726307868958,0.30456167459487915,0.33567848801612854,-0.03588535264134407,-0.005879008211195469,-0.17949658632278442,-0.0247026477009058,-0.12544351816177368,-0.07098644971847534,-0.22297616302967072,-0.10539337992668152,0.31460991501808167,0.14434395730495453,-0.09504366666078568,0.0226470734924078,-0.5268784761428833,0.06952545046806335,0.1987641304731369,0.1680683195590973,0.2544613182544708,-0.1397257149219513,-0.16758425533771515,-0.10092760622501373,0.21349990367889404,0.010921652428805828,0.4060083031654358,-0.0033384347334504128,0.2451777458190918,-0.3703838288784027,0.28433170914649963,0.2543448209762573,-0.06381823867559433,-0.45932209491729736,0.6443116664886475,-0.4993860423564911,0.35154223442077637,0.23418834805488586,0.07461129873991013,-0.1577804833650589,-0.32540377974510193,-0.0119517482817173,-0.3929942846298218,-0.12332566827535629,0.3293129503726959,0.045222681015729904,0.2120492160320282,-0.1902550905942917,-0.2313256710767746,0.0907340943813324,-0.1946156919002533,-0.06613384187221527,0.054350174963474274,-0.1271260529756546,-0.14372068643569946,-0.18336491286754608,0.19555041193962097,0.11240333318710327,0.004225374665111303,0.08874563872814178,-0.20167052745819092,-0.0012622044887393713,Iran,-0.5810494862309689,0.22800584331976964,4
Turla,0.09100206196308136,-0.21900765597820282,-0.030719714239239693,0.1960589587688446,0.3954560160636902,0.3503323197364807,-0.011768338270485401,-0.19669488072395325,-0.5125040411949158,0.1612028181552887,-0.09650565683841705,-0.18707968294620514,0.0874926820397377,0.36526814103126526,-0.08219718933105469,-0.1951684057712555,0.08244349807500839,-0.11864165216684341,-0.3306281864643097,0.1010001078248024,-0.04384095221757889,0.14942653477191925,0.09917297959327698,-0.05235033482313156,-0.16831572353839874,0.1559707075357437,0.06913672387599945,0.06108864024281502,-0.33987951278686523,-0.11023993790149689,0.5233600735664368,0.340267539024353,0.27529609203338623,0.16074679791927338,-0.03536636754870415,-0.008259172551333904,0.1436358243227005,-0.10984224826097488,0.08047404885292053,0.22463487088680267,-0.09478330612182617,0.04033031687140465,0.46900516748428345,-0.3969077169895172,-0.09606391191482544,-0.10386300086975098,-0.09799860417842865,-0.04111798480153084,-0.14200395345687866,-0.2638390362262726,0.37578871846199036,-0.13982819020748138,0.2549230754375458,0.07198786735534668,0.056972604244947433,-0.28966301679611206,-0.04647322744131088,-0.07980260252952576,0.00641748309135437,-0.07697230577468872,0.02967558614909649,0.5619742274284363,-0.12196867167949677,0.2062808871269226,Russia,-0.3010098331289658,0.021314233572580617,2
Wizard Spider,0.4220864176750183,-0.2619321942329407,0.08324865996837616,0.10139232128858566,0.23460595309734344,-0.17389902472496033,-0.07177168130874634,0.002806488424539566,-0.35828134417533875,-0.0652649998664856,0.25163429975509644,-0.1189122200012207,0.10835380852222443,0.2757706344127655,-0.18433932960033417,0.08432931452989578,-0.05812421813607216,-0.08225707709789276,-0.3310447037220001,0.13512468338012695,0.2307089865207672,0.06448844075202942,-0.07659539580345154,-0.017164353281259537,-0.03375003859400749,0.14628349244594574,-0.1147598996758461,0.029873361811041832,-0.11765040457248688,0.066307932138443,0.13820317387580872,-0.18192286789417267,0.21140789985656738,-0.10243641585111618,0.20486609637737274,0.023266306146979332,0.04408254846930504,-0.356789231300354,0.5577813982963562,-0.026811059564352036,-0.11682959645986557,-0.14180707931518555,0.12099199742078781,-0.09497062861919403,0.16597701609134674,0.27936476469039917,-0.22706358134746552,0.10494872182607651,-0.04461991414427757,-0.33328700065612793,-0.06626346707344055,-0.13640959560871124,-0.022196166217327118,0.09011228382587433,-0.08853093534708023,-0.0004448496038094163,0.13268309831619263,-0.24469202756881714,0.10860496014356613,0.21927611529827118,0.19892536103725433,-0.2480393499135971,-0.17106062173843384,0.7506809830665588,Others,-0.3572114341319438,0.07316049036137796,4
Volt Typhoon,0.03858290612697601,-0.4794689416885376,0.016927821561694145,0.35324031114578247,0.3759881258010864,-0.1807846575975418,0.029379483312368393,0.026220306754112244,-0.18885478377342224,0.06371304392814636,0.21128331124782562,-0.07101099193096161,-0.059639278799295425,0.34767967462539673,-0.03582921251654625,-0.3202134370803833,0.014512544497847557,0.025081872940063477,-0.4478853642940521,0.16843701899051666,-0.04329942911863327,0.059102218598127365,0.081081323325634,-0.0917370542883873,-0.3837974965572357,-0.17512115836143494,-0.12426741421222687,-0.278043657541275,0.15951929986476898,0.23973020911216736,0.32089242339134216,-0.14069904386997223,-0.2460106611251831,-0.03418440371751785,-0.007259443402290344,-0.3102421164512634,0.19694340229034424,0.13059979677200317,-0.10942676663398743,-0.01534432452172041,0.29401135444641113,-0.38151535391807556,0.430583655834198,-0.04272036999464035,-0.15868744254112244,0.2356584370136261,-0.24000220000743866,-0.1401062160730362,0.19240614771842957,0.09685403853654861,0.18312251567840576,-0.15344083309173584,-0.2960413098335266,0.526607096195221,0.24671323597431183,-0.07182686775922775,-0.18621425330638885,-0.23245400190353394,0.1046481728553772,-0.20591510832309723,-0.08656439930200577,0.07077649235725403,-0.2683471739292145,-0.306397020816803,China,-0.4121851496950196,0.0010878758378574877,4
Tropic Trooper,-0.0625535324215889,-0.39987483620643616,0.23967795073986053,0.24584132432937622,-0.06189611554145813,-0.33179280161857605,0.24891595542430878,0.018503060564398766,-0.321220338344574,-0.011295727454125881,-0.25514304637908936,-0.3737235367298126,0.2050633728504181,0.03652304410934448,-0.337970495223999,-0.08227086067199707,0.3310436010360718,-0.23004479706287384,-0.21810951828956604,-0.33906859159469604,0.09840716421604156,0.1972724050283432,-0.04851428046822548,-0.3232996165752411,-0.542903482913971,-0.16469158232212067,0.002030805917456746,0.2389560043811798,-0.20634710788726807,0.42062610387802124,0.3966798186302185,-0.08346720784902573,-0.02701156586408615,0.062359195202589035,0.1130402609705925,0.44528284668922424,-0.33232197165489197,-0.2534835934638977,0.2052839994430542,-0.02534051239490509,-0.01778065413236618,0.01738893985748291,0.33432891964912415,0.19366419315338135,-0.28326430916786194,-0.1870192140340805,0.21682867407798767,-0.10674864053726196,0.04028203710913658,0.09754425287246704,-0.14840704202651978,0.40846797823905945,-0.09916103631258011,-0.22334420680999756,0.11815987527370453,0.025591157376766205,-0.10975372791290283,0.017010880634188652,-0.0928625538945198,-0.036883726716041565,-0.05972641706466675,0.05516011640429497,0.13517367839813232,0.22235044836997986,Others,-0.04090005603950442,-0.6299496055075193,4
MuddyWater,0.22237582504749298,-0.23077639937400818,-0.026314562186598778,-0.16537374258041382,0.110031358897686,-0.35303184390068054,-0.35902678966522217,-0.011055491864681244,-0.05787137895822525,-0.5181170701980591,-0.0656905397772789,-0.2523563802242279,0.051182206720113754,0.11804481595754623,0.16410213708877563,-0.17167983949184418,0.3042329251766205,0.13514266908168793,0.22142527997493744,-0.25784745812416077,0.08970000594854355,0.013499639928340912,-0.14099662005901337,-0.07917579263448715,-0.15480618178844452,0.32347697019577026,-0.16198232769966125,-0.12560106813907623,-0.06363680958747864,0.04209251329302788,0.3291330635547638,-0.24763086438179016,0.33425888419151306,-0.08840307593345642,0.15203018486499786,0.04769371077418327,0.21412856876850128,-0.2125040888786316,0.034324441105127335,-0.09539052098989487,0.5407329797744751,-0.06861185282468796,0.23480594158172607,-0.3243825137615204,-0.057603053748607635,-0.2656857371330261,-0.02410528063774109,0.041767437011003494,-0.0014310640981420875,-0.07956130057573318,-0.19100631773471832,-0.1217278465628624,-0.025453336536884308,0.09814146161079407,0.07841484248638153,-0.3400706946849823,-0.18581078946590424,0.11473096907138824,0.0075696660205721855,-0.00972871482372284,0.024253271520137787,0.13015612959861755,-0.4438164234161377,-0.0970199927687645,Iran,0.017205806501886887,0.11937432595502571,2
Storm-1811,0.186977818608284,-0.09561058133840561,-0.2812645435333252,0.032890357077121735,0.329226016998291,-0.12478069961071014,-0.2862374186515808,0.037107840180397034,-0.46319401264190674,-0.2531115710735321,-0.14883922040462494,-0.5014076828956604,-0.01260612066835165,-0.03188750520348549,-0.05998503789305687,-0.08001969754695892,0.6349912285804749,0.4013625681400299,0.0361931286752224,0.2500319182872772,0.10217013210058212,0.3659399151802063,0.264064759016037,0.01292503159493208,0.1580197513103485,-0.12708111107349396,-0.27513840794563293,0.23467935621738434,0.038827210664749146,-0.08656846731901169,-0.15786123275756836,-0.3035690486431122,-0.33550602197647095,0.1405303031206131,-0.18185777962207794,0.2662060260772705,0.23691768944263458,-0.15119512379169464,0.7611299753189087,0.04625628516077995,0.02074427157640457,0.041064031422138214,-0.17072774469852448,-0.003281372133642435,0.046375446021556854,0.11697430908679962,-0.1357225775718689,0.040681324899196625,-0.1450476199388504,-0.041672397404909134,0.07134205847978592,0.09807376563549042,-0.44197526574134827,0.05693786218762398,-0.3838171362876892,0.008530008606612682,-0.5568246245384216,0.2979798913002014,0.22981521487236023,-0.06327113509178162,0.13714289665222168,0.03450218588113785,0.09395608305931091,0.3401094079017639,Others,0.037876195084214186,-0.08642794848337877,4
