group_a,group_b,nation_a,nation_b,similarity,same_nation
Strider,Equation,Others,Others,0.8265293751891664,False
Ferocious Kitten,Scarlet Mimic,Others,Others,0.7910559059163113,False
TA459,APT30,Others,China,0.7228764562150961,False
admin@338,Poseidon Group,Others,Others,0.7010252234223802,False
Mofang,Elderwood,Others,Others,0.6955411141599782,False
BlackTech,Scarlet Mimic,China,Others,0.6644212985653364,False
APT12,APT30,Others,China,0.6638627122549169,False
AppleJeus,Water Galura,North Korea,Others,0.6558030497485552,False
BlackOasis,Gallmaker,Others,Others,0.6396017007317842,False
admin@338,APT1,Others,China,0.6293701532703105,False
Rocke,TeamTNT,Others,Others,0.6279665514785522,False
Machete,Rancor,Others,Others,0.6279220703459043,False
APT12,TA459,Others,Others,0.6267257239065533,False
Akira,Moafee,Others,Others,0.6144006625531616,False
Transparent Tribe,Mustard Tempest,Others,Others,0.6035659185500518,False
DarkHydrus,APT30,Others,China,0.5956657690016463,False
DarkHydrus,Nomadic Octopus,Others,Others,0.5946278837655052,False
Metador,Rancor,Others,Others,0.5932449325170436,False
Scattered Spider,LAPSUS$,Others,Others,0.5914781841041618,False
Mustard Tempest,APT16,Others,Others,0.5873245637098311,False
APT1,Poseidon Group,China,Others,0.5823868222424714,False
Transparent Tribe,Elderwood,Others,Others,0.5820961157269091,False
AppleJeus,SilverTerrier,North Korea,Others,0.5803131275545674,False
BRONZE BUTLER,Scarlet Mimic,China,Others,0.5801482901301198,False
TA578,TA577,Others,Others,0.5738113181017758,False
Fox Kitten,GCMAN,Iran,Others,0.5738091202261851,False
DarkHydrus,TA459,Others,Others,0.5731159124769004,False
Water Galura,Cleaver,Others,Others,0.569967419608351,False
Suckfly,PittyTiger,Others,Others,0.5690641496605068,False
Ke3chang,Scarlet Mimic,China,Others,0.5689299066506799,False
Ferocious Kitten,APT30,Others,China,0.5682980293936469,False
LazyScripter,TA551,Others,Others,0.5663138367808018,False
Silent Librarian,EXOTIC LILY,Others,Others,0.5660761883751809,False
Elderwood,Dark Caracal,Others,Others,0.5646401347947171,False
INC Ransom,AppleJeus,Others,North Korea,0.560730681836228,False
Metador,APT18,Others,China,0.5593527391823007,False
Molerats,Rancor,Others,Others,0.5568892486098409,False
Molerats,Machete,Others,Others,0.5567891454353416,False
FIN10,PittyTiger,Others,Others,0.5546790416400516,False
Group5,Dark Caracal,Others,Others,0.55421113758121,False
Mofang,Transparent Tribe,Others,Others,0.5527137705549144,False
GOLD SOUTHFIELD,AppleJeus,Others,North Korea,0.5519255154475544,False
Sowbug,Poseidon Group,Others,Others,0.5506839103656165,False
APT37,Windshift,North Korea,Others,0.5488627552623182,False
Silent Librarian,Star Blizzard,Others,Russia,0.5465181348732335,False
Elderwood,The White Company,Others,Others,0.5439721288997064,False
BITTER,RedEcho,Others,Others,0.5417928055858744,False
FIN5,PittyTiger,Others,Others,0.5413214043296871,False
Mustard Tempest,CURIUM,Others,Russia,0.5389208388139273,False
Malteiro,Putter Panda,Others,Others,0.5383607904886344,False
Patchwork,Moafee,Others,Others,0.5368624948471583,False
Sidewinder,SideCopy,Others,Others,0.536423285265922,False
EXOTIC LILY,IndigoZebra,Others,Others,0.5340580908396465,False
Confucius,Inception,Others,Others,0.5315283390732262,False
APT18,PittyTiger,China,Others,0.5305599233929992,False
INC Ransom,Akira,Others,Others,0.5294313212329902,False
Elderwood,APT30,Others,China,0.5288303920683709,False
BlackTech,Ferocious Kitten,China,Others,0.5278727944098537,False
Dragonfly,DarkHydrus,Russia,Others,0.5272561166553773,False
SilverTerrier,Water Galura,Others,Others,0.5266063923753339,False
menuPass,GALLIUM,China,China,0.5241341519935464,True
Orangeworm,Threat Group-1314,Others,Others,0.5239167671952786,False
Ferocious Kitten,IndigoZebra,Others,Others,0.5237760884558241,False
Star Blizzard,IndigoZebra,Russia,Others,0.523692532064328,False
BITTER,Metador,Others,Others,0.5218923023460503,False
TA578,APT17,Others,China,0.5218819959661382,False
Mofang,APT30,Others,China,0.5218225411529747,False
Elderwood,TA459,Others,Others,0.5211770529031314,False
INC Ransom,Medusa Group,Others,Others,0.5196349287855662,False
LazyScripter,TA578,Others,Others,0.5186236387381058,False
Saint Bear,Elderwood,Others,Others,0.5186043946032419,False
GALLIUM,Daggerfly,China,Others,0.5175078866130438,False
Mofang,Molerats,Others,Others,0.5172328699889678,False
APT33,Leafminer,Iran,Iran,0.5172107343788006,True
Transparent Tribe,Machete,Others,Others,0.5170831972720001,False
MirrorFace,Strider,Others,Others,0.516886679656231,False
Sowbug,Suckfly,Others,Others,0.5148956869394542,False
TA2541,Mofang,Others,Others,0.5142221804249115,False
LuminousMoth,Cleaver,Others,Others,0.513883332173207,False
PLATINUM,Ajax Security Team,Others,Others,0.5125925774995547,False
APT3,GALLIUM,Others,China,0.5116627795863032,False
APT19,TA551,China,Others,0.511110660371104,False
TA505,Molerats,Others,Others,0.5110096647542522,False
Sandworm Team,APT16,Russia,Others,0.5104582545123482,False
Chimera,APT1,China,China,0.5094129482877988,True
Agrius,Ember Bear,Others,Others,0.5083804221408,False
Transparent Tribe,RedEcho,Others,Others,0.5083460122764181,False
Sowbug,admin@338,Others,Others,0.5077401851485414,False
Scattered Spider,Storm-0501,Others,Others,0.5075370814879859,False
Cinnamon Tempest,Threat Group-1314,Others,Others,0.505399316386458,False
The White Company,TA459,Others,Others,0.5024569100928246,False
Group5,APT18,Others,China,0.5023579949527159,False
Chimera,ToddyCat,China,Others,0.5015402881602119,False
