technique,nations_sharing,nations,total_groups
Additional Local or Domain Groups,4,China | Iran | North Korea | Russia,7
Archive via Utility,4,China | Iran | North Korea | Russia,39
Brute Force,4,China | Iran | North Korea | Russia,15
Bypass User Account Control,4,China | Iran | North Korea | Russia,11
Command Obfuscation,4,China | Iran | North Korea | Russia,29
Command and Scripting Interpreter,4,China | Iran | North Korea | Russia,17
Credentials from Web Browsers,4,China | Iran | North Korea | Russia,23
Data Encrypted for Impact,4,China | Iran | North Korea | Russia,18
Data from Local System,4,China | Iran | North Korea | Russia,45
Deobfuscate/Decode Files or Information,4,China | Iran | North Korea | Russia,38
Disable or Modify Tools,4,China | Iran | North Korea | Russia,32
Domains,4,China | Iran | North Korea | Russia,46
Drive-by Compromise,4,China | Iran | North Korea | Russia,31
Email Accounts,4,China | Iran | North Korea | Russia,27
Email Addresses,4,China | Iran | North Korea | Russia,14
Encrypted/Encoded File,4,China | Iran | North Korea | Russia,40
Exfiltration Over C2 Channel,4,China | Iran | North Korea | Russia,27
Exfiltration to Cloud Storage,4,China | Iran | North Korea | Russia,25
Exploit Public-Facing Application,4,China | Iran | North Korea | Russia,44
Exploitation for Client Execution,4,China | Iran | North Korea | Russia,41
External Proxy,4,China | Iran | North Korea | Russia,11
External Remote Services,4,China | Iran | North Korea | Russia,28
File Deletion,4,China | Iran | North Korea | Russia,47
File and Directory Discovery,4,China | Iran | North Korea | Russia,51
Hidden Window,4,China | Iran | North Korea | Russia,18
Impersonation,4,China | Iran | North Korea | Russia,15
Ingress Tool Transfer,4,China | Iran | North Korea | Russia,86
Internal Proxy,4,China | Iran | North Korea | Russia,9
JavaScript,4,China | Iran | North Korea | Russia,26
Keylogging,4,China | Iran | North Korea | Russia,26
LSASS Memory,4,China | Iran | North Korea | Russia,44
Local Account,4,China | Iran | North Korea | Russia,29
Local Data Staging,4,China | Iran | North Korea | Russia,28
Malicious File,4,China | Iran | North Korea | Russia,86
Malicious Link,4,China | Iran | North Korea | Russia,49
Match Legitimate Resource Name or Location,4,China | Iran | North Korea | Russia,61
Modify Registry,4,China | Iran | North Korea | Russia,29
Mshta,4,China | Iran | North Korea | Russia,17
Network Share Discovery,4,China | Iran | North Korea | Russia,16
Password Spraying,4,China | Iran | North Korea | Russia,11
Peripheral Device Discovery,4,China | Iran | North Korea | Russia,9
PowerShell,4,China | Iran | North Korea | Russia,85
Process Discovery,4,China | Iran | North Korea | Russia,41
Python,4,China | Iran | North Korea | Russia,18
Query Registry,4,China | Iran | North Korea | Russia,19
Registry Run Keys / Startup Folder,4,China | Iran | North Korea | Russia,56
Remote Desktop Protocol,4,China | Iran | North Korea | Russia,37
Remote Email Collection,4,China | Iran | North Korea | Russia,13
Rundll32,4,China | Iran | North Korea | Russia,26
SMB/Windows Admin Shares,4,China | Iran | North Korea | Russia,27
SSH,4,China | Iran | North Korea | Russia,19
Scheduled Task,4,China | Iran | North Korea | Russia,54
Screen Capture,4,China | Iran | North Korea | Russia,19
Security Software Discovery,4,China | Iran | North Korea | Russia,27
Software Packing,4,China | Iran | North Korea | Russia,23
Spearphishing Attachment,4,China | Iran | North Korea | Russia,78
Spearphishing Link,4,China | Iran | North Korea | Russia,53
Standard Encoding,4,China | Iran | North Korea | Russia,11
Symmetric Cryptography,4,China | Iran | North Korea | Russia,14
System Checks,4,China | Iran | North Korea | Russia,7
System Information Discovery,4,China | Iran | North Korea | Russia,57
System Network Configuration Discovery,4,China | Iran | North Korea | Russia,43
System Network Connections Discovery,4,China | Iran | North Korea | Russia,32
System Owner/User Discovery,4,China | Iran | North Korea | Russia,40
System Service Discovery,4,China | Iran | North Korea | Russia,15
Upload Malware,4,China | Iran | North Korea | Russia,27
Valid Accounts,4,China | Iran | North Korea | Russia,45
Visual Basic,4,China | Iran | North Korea | Russia,46
Web Protocols,4,China | Iran | North Korea | Russia,57
Web Services,4,China | Iran | North Korea | Russia,28
Web Shell,4,China | Iran | North Korea | Russia,31
Windows Command Shell,4,China | Iran | North Korea | Russia,73
