apt_group,technique,last_seen,first_seen,years_active,years_since_last_use
APT1,Archive via Utility,2017,2017,1,9
APT1,Data from Local System,2017,2017,1,9
APT1,LSASS Memory,2017,2017,1,9
APT1,Local Email Collection,2017,2017,1,9
APT1,Match Legitimate Resource Name or Location,2017,2017,1,9
APT1,Pass the Hash,2017,2017,1,9
APT1,Remote Desktop Protocol,2017,2017,1,9
APT1,Windows Command Shell,2017,2017,1,9
APT18,At,2017,2017,1,9
APT18,External Remote Services,2017,2017,1,9
APT18,File Deletion,2017,2017,1,9
APT18,Valid Accounts,2017,2017,1,9
APT28,Bootkit,2017,2017,1,9
APT28,Clear Windows Event Logs,2017,2017,1,9
APT28,Communication Through Removable Media,2017,2017,1,9
APT28,Component Object Model Hijacking,2017,2017,1,9
APT28,Data from Removable Media,2017,2017,1,9
APT28,Encrypted/Encoded File,2017,2017,1,9
APT28,Exploitation for Privilege Escalation,2017,2017,1,9
APT28,External Proxy,2017,2017,1,9
APT28,File Deletion,2017,2017,1,9
APT28,File and Directory Discovery,2017,2017,1,9
APT28,Ingress Tool Transfer,2017,2017,1,9
APT28,Junk Data,2017,2017,1,9
APT28,Keylogging,2017,2017,1,9
APT28,LSASS Memory,2017,2017,1,9
APT28,Local Data Staging,2017,2017,1,9
APT28,Mail Protocols,2017,2017,1,9
APT28,Office Test,2017,2017,1,9
APT28,Pass the Hash,2017,2017,1,9
APT28,Peripheral Device Discovery,2017,2017,1,9
APT28,Process Discovery,2017,2017,1,9
APT28,Replication Through Removable Media,2017,2017,1,9
APT28,Rundll32,2017,2017,1,9
APT28,Screen Capture,2017,2017,1,9
APT28,Timestomp,2017,2017,1,9
APT28,Token Impersonation/Theft,2017,2017,1,9
APT28,Valid Accounts,2017,2017,1,9
APT29,Accessibility Features,2017,2017,1,9
APT29,Bypass User Account Control,2017,2017,1,9
APT29,File Deletion,2017,2017,1,9
APT29,Pass the Ticket,2017,2017,1,9
APT29,PowerShell,2017,2017,1,9
APT29,Registry Run Keys / Startup Folder,2017,2017,1,9
APT29,Scheduled Task,2017,2017,1,9
APT29,Software Packing,2017,2017,1,9
APT29,Windows Management Instrumentation,2017,2017,1,9
APT29,Windows Management Instrumentation Event Subscription,2017,2017,1,9
APT3,Keylogging,2017,2017,1,9
APT3,LSASS Memory,2017,2017,1,9
APT3,Multi-Stage Channels,2017,2017,1,9
APT3,Non-Application Layer Protocol,2017,2017,1,9
APT3,PowerShell,2017,2017,1,9
APT3,Scheduled Task,2017,2017,1,9
APT3,System Network Configuration Discovery,2017,2017,1,9
APT3,System Owner/User Discovery,2017,2017,1,9
APT3,Windows Command Shell,2017,2017,1,9
APT32,Encrypted/Encoded File,2017,2017,1,9
APT32,Exploitation for Privilege Escalation,2017,2017,1,9
APT32,Local Accounts,2017,2017,1,9
APT32,Match Legitimate Resource Name or Location,2017,2017,1,9
APT32,PowerShell,2017,2017,1,9
APT32,Regsvr32,2017,2017,1,9
APT32,Scheduled Task,2017,2017,1,9
APT32,Software Deployment Tools,2017,2017,1,9
APT32,Timestomp,2017,2017,1,9
Axiom,Accessibility Features,2017,2017,1,9
Axiom,OS Credential Dumping,2017,2017,1,9
Axiom,Remote Desktop Protocol,2017,2017,1,9
Carbanak,Bidirectional Communication,2017,2017,1,9
Carbanak,Disable or Modify System Firewall,2017,2017,1,9
Carbanak,Match Legitimate Resource Name or Location,2017,2017,1,9
Carbanak,Rundll32,2017,2017,1,9
Carbanak,Valid Accounts,2017,2017,1,9
Carbanak,Windows Service,2017,2017,1,9
Cleaver,LSASS Memory,2017,2017,1,9
Darkhotel,Code Signing,2017,2017,1,9
Darkhotel,Keylogging,2017,2017,1,9
Darkhotel,Registry Run Keys / Startup Folder,2017,2017,1,9
Darkhotel,Replication Through Removable Media,2017,2017,1,9
Darkhotel,Taint Shared Content,2017,2017,1,9
Deep Panda,Accessibility Features,2017,2017,1,9
Deep Panda,Indicator Removal from Tools,2017,2017,1,9
Deep Panda,PowerShell,2017,2017,1,9
Deep Panda,Process Discovery,2017,2017,1,9
Deep Panda,Regsvr32,2017,2017,1,9
Deep Panda,SMB/Windows Admin Shares,2017,2017,1,9
Deep Panda,Web Shell,2017,2017,1,9
Deep Panda,Windows Management Instrumentation,2017,2017,1,9
Equation,Peripheral Device Discovery,2017,2017,1,9
FIN10,File Deletion,2017,2017,1,9
FIN10,Lateral Tool Transfer,2017,2017,1,9
FIN10,PowerShell,2017,2017,1,9
FIN10,Registry Run Keys / Startup Folder,2017,2017,1,9
FIN10,Remote Desktop Protocol,2017,2017,1,9
FIN10,Scheduled Task,2017,2017,1,9
FIN10,System Owner/User Discovery,2017,2017,1,9
FIN10,Valid Accounts,2017,2017,1,9
FIN10,Windows Command Shell,2017,2017,1,9
FIN6,Archive Collected Data,2017,2017,1,9
FIN6,Archive via Custom Method,2017,2017,1,9
FIN6,Asymmetric Cryptography,2017,2017,1,9
FIN6,Automated Collection,2017,2017,1,9
FIN6,Command and Scripting Interpreter,2017,2017,1,9
FIN6,Domain Account,2017,2017,1,9
FIN6,Exploitation for Privilege Escalation,2017,2017,1,9
FIN6,LSASS Memory,2017,2017,1,9
FIN6,Network Service Discovery,2017,2017,1,9
FIN6,PowerShell,2017,2017,1,9
FIN6,Protocol Tunneling,2017,2017,1,9
FIN6,Registry Run Keys / Startup Folder,2017,2017,1,9
FIN6,Remote Desktop Protocol,2017,2017,1,9
FIN6,Remote System Discovery,2017,2017,1,9
FIN6,Scheduled Task,2017,2017,1,9
FIN6,Valid Accounts,2017,2017,1,9
FIN7,Application Shimming,2017,2017,1,9
FIN7,Ingress Tool Transfer,2017,2017,1,9
FIN7,Masquerade Task or Service,2017,2017,1,9
FIN7,PowerShell,2017,2017,1,9
FIN7,Registry Run Keys / Startup Folder,2017,2017,1,9
FIN7,Scheduled Task,2017,2017,1,9
GCMAN,SSH,2017,2017,1,9
Gamaredon Group,Data from Removable Media,2017,2017,1,9
Gamaredon Group,Exfiltration Over C2 Channel,2017,2017,1,9
Gamaredon Group,Ingress Tool Transfer,2017,2017,1,9
Gamaredon Group,Peripheral Device Discovery,2017,2017,1,9
Gamaredon Group,System Information Discovery,2017,2017,1,9
Gamaredon Group,System Owner/User Discovery,2017,2017,1,9
Gamaredon Group,Web Protocols,2017,2017,1,9
Gamaredon Group,Windows Command Shell,2017,2017,1,9
Group5,Encrypted/Encoded File,2017,2017,1,9
Group5,File Deletion,2017,2017,1,9
Group5,Keylogging,2017,2017,1,9
Group5,Screen Capture,2017,2017,1,9
Ke3chang,Archive Collected Data,2017,2017,1,9
Ke3chang,Archive via Utility,2017,2017,1,9
Ke3chang,Command and Scripting Interpreter,2017,2017,1,9
Ke3chang,Data from Local System,2017,2017,1,9
Ke3chang,Domain Account,2017,2017,1,9
Ke3chang,Domain Groups,2017,2017,1,9
Ke3chang,Exfiltration Over C2 Channel,2017,2017,1,9
Ke3chang,File and Directory Discovery,2017,2017,1,9
Ke3chang,LSASS Memory,2017,2017,1,9
Ke3chang,Process Discovery,2017,2017,1,9
Ke3chang,SMB/Windows Admin Shares,2017,2017,1,9
Ke3chang,System Information Discovery,2017,2017,1,9
Ke3chang,System Network Configuration Discovery,2017,2017,1,9
Ke3chang,System Network Connections Discovery,2017,2017,1,9
Ke3chang,System Service Discovery,2017,2017,1,9
Lazarus Group,Account Manipulation,2017,2017,1,9
Lazarus Group,Application Window Discovery,2017,2017,1,9
Lazarus Group,Archive Collected Data,2017,2017,1,9
Lazarus Group,Archive via Library,2017,2017,1,9
Lazarus Group,Bootkit,2017,2017,1,9
Lazarus Group,Create Process with Token,2017,2017,1,9
Lazarus Group,Data from Local System,2017,2017,1,9
Lazarus Group,Disable or Modify Tools,2017,2017,1,9
Lazarus Group,Encrypted/Encoded File,2017,2017,1,9
Lazarus Group,Exfiltration Over C2 Channel,2017,2017,1,9
Lazarus Group,Exfiltration Over Unencrypted Non-C2 Protocol,2017,2017,1,9
Lazarus Group,Fallback Channels,2017,2017,1,9
Lazarus Group,File Deletion,2017,2017,1,9
Lazarus Group,File and Directory Discovery,2017,2017,1,9
Lazarus Group,Ingress Tool Transfer,2017,2017,1,9
Lazarus Group,Keylogging,2017,2017,1,9
Lazarus Group,Local Data Staging,2017,2017,1,9
Lazarus Group,Password Spraying,2017,2017,1,9
Lazarus Group,Process Discovery,2017,2017,1,9
Lazarus Group,Query Registry,2017,2017,1,9
Lazarus Group,Registry Run Keys / Startup Folder,2017,2017,1,9
Lazarus Group,Remote Desktop Protocol,2017,2017,1,9
Lazarus Group,SMB/Windows Admin Shares,2017,2017,1,9
Lazarus Group,Symmetric Cryptography,2017,2017,1,9
Lazarus Group,System Information Discovery,2017,2017,1,9
Lazarus Group,System Network Configuration Discovery,2017,2017,1,9
Lazarus Group,System Owner/User Discovery,2017,2017,1,9
Lazarus Group,Timestomp,2017,2017,1,9
Lazarus Group,Windows Management Instrumentation,2017,2017,1,9
Lazarus Group,Windows Service,2017,2017,1,9
Moafee,Binary Padding,2017,2017,1,9
Molerats,Code Signing,2017,2017,1,9
Molerats,Credentials from Web Browsers,2017,2017,1,9
Molerats,Process Discovery,2017,2017,1,9
Naikon,Security Software Discovery,2017,2017,1,9
Naikon,System Network Configuration Discovery,2017,2017,1,9
OilRig,Indicator Removal from Tools,2017,2017,1,9
Patchwork,Bypass User Account Control,2017,2017,1,9
Patchwork,Credentials from Web Browsers,2017,2017,1,9
Patchwork,Data from Local System,2017,2017,1,9
Patchwork,Dead Drop Resolver,2017,2017,1,9
Patchwork,File and Directory Discovery,2017,2017,1,9
Patchwork,Ingress Tool Transfer,2017,2017,1,9
Patchwork,Match Legitimate Resource Name or Location,2017,2017,1,9
Patchwork,PowerShell,2017,2017,1,9
Patchwork,Process Hollowing,2017,2017,1,9
Patchwork,Registry Run Keys / Startup Folder,2017,2017,1,9
Patchwork,Remote Desktop Protocol,2017,2017,1,9
Patchwork,Security Software Discovery,2017,2017,1,9
Patchwork,Software Packing,2017,2017,1,9
Patchwork,Standard Encoding,2017,2017,1,9
Patchwork,System Information Discovery,2017,2017,1,9
Patchwork,System Owner/User Discovery,2017,2017,1,9
Patchwork,Windows Command Shell,2017,2017,1,9
PittyTiger,Valid Accounts,2017,2017,1,9
Poseidon Group,Domain Account,2017,2017,1,9
Poseidon Group,Match Legitimate Resource Name or Location,2017,2017,1,9
Poseidon Group,OS Credential Dumping,2017,2017,1,9
Poseidon Group,PowerShell,2017,2017,1,9
Poseidon Group,Process Discovery,2017,2017,1,9
Poseidon Group,System Network Connections Discovery,2017,2017,1,9
Poseidon Group,System Service Discovery,2017,2017,1,9
Putter Panda,Disable or Modify Tools,2017,2017,1,9
Putter Panda,Dynamic-link Library Injection,2017,2017,1,9
Putter Panda,Encrypted/Encoded File,2017,2017,1,9
Putter Panda,Registry Run Keys / Startup Folder,2017,2017,1,9
RTM,Dead Drop Resolver,2017,2017,1,9
Stealth Falcon,Command and Scripting Interpreter,2017,2017,1,9
Stealth Falcon,Credentials from Password Stores,2017,2017,1,9
Stealth Falcon,Data from Local System,2017,2017,1,9
