technique,first_seen,last_seen,lifespan_years,active_years,total_groups,persistence_score,status
Archive via Utility,2017,2026,9,10,39,0.96,Active
Automated Collection,2017,2026,9,9,21,0.96,Active
Code Signing,2017,2026,9,10,27,0.96,Active
DLL,2017,2026,9,10,35,0.96,Active
Data from Local System,2017,2026,9,9,45,0.96,Active
Disable or Modify Tools,2017,2026,9,10,32,0.96,Active
Domain Account,2017,2026,9,10,32,0.96,Active
Encrypted/Encoded File,2017,2026,9,10,40,0.96,Active
Exfiltration Over C2 Channel,2017,2026,9,9,27,0.96,Active
External Remote Services,2017,2026,9,10,28,0.96,Active
File Deletion,2017,2026,9,10,47,0.96,Active
File and Directory Discovery,2017,2026,9,10,51,0.96,Active
Ingress Tool Transfer,2017,2026,9,10,86,0.96,Active
LSASS Memory,2017,2026,9,10,44,0.96,Active
Local Data Staging,2017,2026,9,10,28,0.96,Active
Masquerade Task or Service,2017,2026,9,9,23,0.96,Active
Match Legitimate Resource Name or Location,2017,2026,9,10,61,0.96,Active
PowerShell,2017,2026,9,10,85,0.96,Active
Process Discovery,2017,2026,9,10,41,0.96,Active
Registry Run Keys / Startup Folder,2017,2026,9,9,56,0.96,Active
Remote Desktop Protocol,2017,2026,9,10,37,0.96,Active
Remote System Discovery,2017,2026,9,10,40,0.96,Active
SMB/Windows Admin Shares,2017,2026,9,10,27,0.96,Active
System Information Discovery,2017,2026,9,10,57,0.96,Active
System Network Configuration Discovery,2017,2026,9,10,43,0.96,Active
System Owner/User Discovery,2017,2026,9,10,40,0.96,Active
Valid Accounts,2017,2026,9,10,45,0.96,Active
Web Protocols,2017,2026,9,10,57,0.96,Active
Windows Command Shell,2017,2026,9,10,73,0.96,Active
Windows Management Instrumentation,2017,2026,9,10,42,0.96,Active
Domain Accounts,2017,2026,9,7,19,0.945,Active
Screen Capture,2017,2026,9,9,19,0.945,Active
Command Obfuscation,2018,2026,8,9,29,0.92,Active
Credentials from Web Browsers,2017,2025,8,8,23,0.92,Active
Exploit Public-Facing Application,2018,2026,8,9,44,0.92,Active
Exploitation for Privilege Escalation,2017,2025,8,9,22,0.92,Active
JavaScript,2018,2026,8,8,26,0.92,Active
Keylogging,2017,2025,8,9,26,0.92,Active
Local Account,2017,2025,8,9,29,0.92,Active
Malicious File,2018,2026,8,9,86,0.92,Active
Malicious Link,2018,2026,8,8,49,0.92,Active
Native API,2018,2026,8,8,20,0.92,Active
Network Service Discovery,2017,2025,8,9,31,0.92,Active
Rundll32,2017,2025,8,9,26,0.92,Active
Scheduled Task,2017,2025,8,9,54,0.92,Active
Security Software Discovery,2017,2025,8,9,27,0.92,Active
Software Packing,2017,2025,8,9,23,0.92,Active
Spearphishing Attachment,2018,2026,8,8,78,0.92,Active
Spearphishing Link,2018,2026,8,9,53,0.92,Active
System Network Connections Discovery,2017,2025,8,9,32,0.92,Active
Visual Basic,2018,2026,8,9,46,0.92,Active
Web Shell,2017,2025,8,9,31,0.92,Active
Windows Service,2017,2025,8,9,26,0.92,Active
Lateral Tool Transfer,2017,2025,8,7,19,0.905,Active
Query Registry,2017,2025,8,9,19,0.905,Active
SSH,2017,2025,8,9,19,0.905,Active
Brute Force,2017,2026,9,9,15,0.885,Active
Protocol Tunneling,2017,2026,9,7,15,0.885,Active
System Service Discovery,2017,2026,9,8,15,0.885,Active
Deobfuscate/Decode Files or Information,2018,2025,7,8,38,0.88,Active
Exfiltration to Cloud Storage,2019,2026,7,8,25,0.88,Active
Exploitation for Client Execution,2018,2025,7,7,41,0.88,Active
Modify Registry,2018,2025,7,8,29,0.88,Active
Command and Scripting Interpreter,2017,2025,8,7,17,0.875,Active
Clear Windows Event Logs,2017,2026,9,7,14,0.87,Active
Security Account Manager,2017,2026,9,7,14,0.87,Active
System Time Discovery,2017,2026,9,7,14,0.87,Active
Proxy,2019,2026,7,8,19,0.865,Active
Bidirectional Communication,2017,2025,8,7,16,0.86,Active
Data Encrypted for Impact,2019,2026,7,6,18,0.85,Active
Hidden Window,2019,2026,7,6,18,0.85,Active
Python,2019,2026,7,8,18,0.85,Active
Domains,2020,2026,6,7,46,0.84,Active
Email Accounts,2020,2026,6,7,27,0.84,Active
Masquerading,2019,2025,6,7,20,0.84,Active
Web Services,2020,2026,6,7,28,0.84,Active
Mshta,2018,2025,7,7,17,0.835,Active
Symmetric Cryptography,2017,2025,8,9,14,0.83,Active
Network Share Discovery,2018,2025,7,7,16,0.82,Active
Service Execution,2018,2025,7,6,16,0.82,Active
Disable or Modify System Firewall,2017,2025,8,5,13,0.815,Active
Domain Groups,2017,2025,8,7,13,0.815,Active
OS Credential Dumping,2017,2025,8,7,13,0.815,Active
Remote Email Collection,2018,2026,8,8,13,0.815,Active
Dynamic-link Library Injection,2017,2026,9,7,10,0.81,Active
NTDS,2020,2026,6,7,18,0.81,Active
Social Media Accounts,2020,2026,6,7,18,0.81,Active
Virtual Private Server,2020,2026,6,6,18,0.81,Active
Process Injection,2018,2025,7,6,15,0.805,Active
Web Service,2019,2026,7,7,15,0.805,Active
Local Accounts,2017,2025,8,6,12,0.8,Active
Non-Application Layer Protocol,2017,2025,8,8,12,0.8,Active
Trusted Relationship,2018,2026,8,7,12,0.8,Active
Upload Malware,2021,2026,5,6,27,0.8,Active
Non-Standard Port,2020,2026,6,5,17,0.795,Active
Spearphishing via Service,2018,2025,7,8,14,0.79,Active
Asymmetric Cryptography,2017,2025,8,6,11,0.785,Active
Bypass User Account Control,2017,2025,8,6,11,0.785,Active
Exfiltration Over Unencrypted Non-C2 Protocol,2017,2025,8,5,11,0.785,Active
Password Spraying,2017,2025,8,8,11,0.785,Active
Regsvr32,2017,2025,8,7,11,0.785,Active
Remote Data Staging,2018,2026,8,7,11,0.785,Active
Remote Desktop Software,2018,2026,8,7,11,0.785,Active
Standard Encoding,2017,2025,8,6,11,0.785,Active
Timestomp,2017,2025,8,6,11,0.785,Active
Local Email Collection,2017,2026,9,5,8,0.78,Active
Process Hollowing,2017,2026,9,6,8,0.78,Active
Server,2020,2026,6,7,15,0.765,Active
Software Deployment Tools,2017,2026,9,5,7,0.765,Active
Hidden Files and Directories,2018,2025,7,7,12,0.76,Active
Remote Access Tools,2018,2025,7,6,12,0.76,Active
Internal Proxy,2017,2025,8,6,9,0.755,Active
Vulnerability Scanning,2020,2026,6,6,14,0.75,Active
Multi-hop Proxy,2018,2025,7,6,11,0.745,Active
Binary Padding,2017,2025,8,5,8,0.74,Active
Replication Through Removable Media,2017,2025,8,6,8,0.74,Active
Template Injection,2018,2026,8,5,8,0.74,Active
Archive via Custom Method,2017,2025,8,6,7,0.725,Active
Indicator Removal from Tools,2017,2025,8,4,7,0.725,Active
Sharepoint,2018,2026,8,6,7,0.725,Active
Account Manipulation,2017,2026,9,4,4,0.72,Active
Cloud Accounts,2020,2026,6,7,12,0.72,Active
Dead Drop Resolver,2017,2025,8,5,6,0.71,Active
Disk Structure Wipe,2018,2026,8,5,6,0.71,Active
Junk Code Insertion,2018,2026,8,6,6,0.71,Active
Mail Protocols,2017,2025,8,4,6,0.71,Active
Rootkit,2017,2025,8,5,6,0.71,Active
Password Filter DLL,2017,2026,9,3,3,0.705,Active
Network Sniffing,2018,2025,7,4,8,0.7,Active
Fallback Channels,2017,2025,8,5,5,0.695,Active
Windows Remote Management,2017,2025,8,5,5,0.695,Active
Compression,2020,2026,6,3,10,0.69,Active
