technique,mitigation_count,mitigation_names,has_defence
Encrypted/Encoded File,2,Antivirus/Antimalware | Behavior Prevention on Endpoint,True
Internet Connection Discovery,0,,False
Tool,1,Pre-compromise,True
Security Software Discovery,0,,False
Local Account,3,Multi-factor Authentication | Operating System Configuration | Privileged Account Management,True
Exploitation for Privilege Escalation,5,Application Isolation and Sandboxing | Execution Prevention | Exploit Protection | Threat Intelligence Program | Update Software,True
Dynamic-link Library Injection,1,Behavior Prevention on Endpoint,True
Private Keys,4,Audit | Encrypt Sensitive Information | Password Policies | Restrict File and Directory Permissions,True
System Network Configuration Discovery,0,,False
Encrypted Channel,2,Network Intrusion Prevention | SSL/TLS Inspection,True
Visual Basic,5,Antivirus/Antimalware | Behavior Prevention on Endpoint | Disable or Remove Feature or Program | Execution Prevention | Restrict Web-Based Content,True
SSH,3,Disable or Remove Feature or Program | Multi-factor Authentication | User Account Management,True
Automated Collection,2,Encrypt Sensitive Information | Remote Data Storage,True
Hidden Window,2,Execution Prevention | Limit Software Installation,True
Botnet,1,Pre-compromise,True
Malicious File,3,Behavior Prevention on Endpoint | Execution Prevention | User Training,True
Spearphishing Link,5,Audit | Restrict Web-Based Content | Software Configuration | User Account Management | User Training,True
Scheduled Task,4,Audit | Operating System Configuration | Privileged Account Management | User Account Management,True
Data from Local System,1,Data Loss Prevention,True
Spearphishing Attachment,7,Antivirus/Antimalware | Audit | Network Intrusion Prevention | Restrict Web-Based Content | Software Configuration | User Account Management | User Training,True
File Deletion,0,,False
Fast Flux DNS,0,,False
Group Policy Modification,2,Audit | User Account Management,True
PowerShell,5,Antivirus/Antimalware | Code Signing | Disable or Remove Feature or Program | Execution Prevention | Privileged Account Management,True
Cloud API,2,Execution Prevention | Privileged Account Management,True
Trusted Relationship,3,Multi-factor Authentication | Network Segmentation | User Account Management,True
System Time Discovery,0,,False
Web Services,1,Pre-compromise,True
Windows Management Instrumentation,4,Behavior Prevention on Endpoint | Execution Prevention | Privileged Account Management | User Account Management,True
Deobfuscate/Decode Files or Information,0,,False
Match Legitimate Resource Name or Location,3,Code Signing | Execution Prevention | Restrict File and Directory Permissions,True
Drive-by Compromise,5,Application Isolation and Sandboxing | Exploit Protection | Restrict Web-Based Content | Update Software | User Training,True
Network Service Discovery,3,Disable or Remove Feature or Program | Network Intrusion Prevention | Network Segmentation,True
Registry Run Keys / Startup Folder,0,,False
Ingress Tool Transfer,2,Filter Network Traffic | Network Intrusion Prevention,True
Local Accounts,4,Multi-factor Authentication | Password Policies | Privileged Account Management | User Account Management,True
Account Manipulation,7,Disable or Remove Feature or Program | Multi-factor Authentication | Network Segmentation | Operating System Configuration | Privileged Account Management | Restrict File and Directory Permissions | User Account Management,True
System Information Discovery,0,,False
Brute Force,4,Account Use Policies | Multi-factor Authentication | Password Policies | User Account Management,True
SMB/Windows Admin Shares,4,Filter Network Traffic | Limit Access to Resource Over Network | Password Policies | Privileged Account Management,True
System Network Connections Discovery,0,,False
Office Test,2,Behavior Prevention on Endpoint | Software Configuration,True
Credentials from Web Browsers,5,Password Policies | Restrict Web-Based Content | Update Software | User Account Management | User Training,True
Exfiltration to Cloud Storage,1,Restrict Web-Based Content,True
Messaging Applications,3,Audit | Out-of-Band Communications Channel | User Training,True
Code Signing,0,,False
Domains,1,Pre-compromise,True
Phishing for Information,2,Software Configuration | User Training,True
Component Object Model,2,Application Isolation and Sandboxing | Privileged Account Management,True
Spearphishing via Service,5,Antivirus/Antimalware | Audit | Restrict Web-Based Content | User Account Management | User Training,True
Windows Command Shell,1,Execution Prevention,True
Web Service,2,Network Intrusion Prevention | Restrict Web-Based Content,True
Malware,1,Pre-compromise,True
Credentials,1,Pre-compromise,True
Native API,2,Behavior Prevention on Endpoint | Execution Prevention,True
Gather Victim Identity Information,1,Pre-compromise,True
External Remote Services,5,Disable or Remove Feature or Program | Limit Access to Resource Over Network | Multi-factor Authentication | Network Segmentation | Restrict Web-Based Content,True
Symmetric Cryptography,1,Network Intrusion Prevention,True
Service Execution,3,Behavior Prevention on Endpoint | Privileged Account Management | Restrict File and Directory Permissions,True
Network Share Discovery,1,Operating System Configuration,True
Exploitation for Client Execution,3,Application Isolation and Sandboxing | Exploit Protection | Update Software,True
Audio-Visual Content,1,Pre-compromise,True
System Owner/User Discovery,0,,False
Command and Scripting Interpreter,9,Antivirus/Antimalware | Audit | Behavior Prevention on Endpoint | Code Signing | Disable or Remove Feature or Program | Execution Prevention | Limit Software Installation | Privileged Account Management | Restrict Web-Based Content,True
JavaScript,4,Behavior Prevention on Endpoint | Disable or Remove Feature or Program | Execution Prevention | Restrict Web-Based Content,True
Exploitation for Credential Access,5,Application Developer Guidance | Application Isolation and Sandboxing | Exploit Protection | Threat Intelligence Program | Update Software,True
Email Accounts,1,Pre-compromise,True
Cloud Accounts,8,Account Use Policies | Active Directory Configuration | Multi-factor Authentication | Password Policies | Pre-compromise | Privileged Account Management | User Account Management | User Training,True
IDE Tunneling,1,Execution Prevention,True
Winlogon Helper DLL,2,Execution Prevention | User Account Management,True
Regsvr32,1,Exploit Protection,True
Print Processors,1,User Account Management,True
Automated Exfiltration,0,,False
File and Directory Discovery,0,,False
Process Discovery,0,,False
Local Data Staging,0,,False
System Binary Proxy Execution,6,Disable or Remove Feature or Program | Execution Prevention | Exploit Protection | Filter Network Traffic | Privileged Account Management | Restrict Web-Based Content,True
Junk Code Insertion,1,Antivirus/Antimalware,True
Credentials from Password Stores,3,Password Policies | Privileged Account Management | Update Software,True
External Proxy,1,Network Intrusion Prevention,True
Archive via Utility,1,Audit,True
Rundll32,1,Exploit Protection,True
Network Share Connection Removal,0,,False
Valid Accounts,8,Account Use Policies | Active Directory Configuration | Application Developer Guidance | Multi-factor Authentication | Password Policies | Privileged Account Management | User Account Management | User Training,True
Social Media Accounts,1,Pre-compromise,True
Exfiltration over USB,3,Data Loss Prevention | Disable or Remove Feature or Program | Limit Hardware Installation,True
LSASS Memory,7,Behavior Prevention on Endpoint | Credential Access Protection | Operating System Configuration | Password Policies | Privileged Account Management | Privileged Process Integrity | User Training,True
Exploit Public-Facing Application,8,Application Isolation and Sandboxing | Exploit Protection | Filter Network Traffic | Limit Access to Resource Over Network | Network Segmentation | Privileged Account Management | Update Software | Vulnerability Scanning,True
Multi-Stage Channels,1,Network Intrusion Prevention,True
Command Obfuscation,2,Antivirus/Antimalware | Behavior Prevention on Endpoint,True
Disable or Modify Tools,7,Audit | Disable or Remove Feature or Program | Execution Prevention | Restrict File and Directory Permissions | Restrict Registry Permissions | Software Configuration | User Account Management,True
Security Account Manager,4,Operating System Configuration | Password Policies | Privileged Account Management | User Training,True
Masquerade Task or Service,0,,False
Pass the Hash,4,Privileged Account Management | Update Software | User Account Control | User Account Management,True
Data from Removable Media,1,Data Loss Prevention,True
Mshta,2,Disable or Remove Feature or Program | Execution Prevention,True
Windows Management Instrumentation Event Subscription,3,Behavior Prevention on Endpoint | Privileged Account Management | User Account Management,True
Python,4,Antivirus/Antimalware | Audit | Execution Prevention | Limit Software Installation,True
Systemd Service,4,Limit Software Installation | Privileged Account Management | Restrict File and Directory Permissions | User Account Management,True
Dynamic Data Exchange,4,Application Isolation and Sandboxing | Behavior Prevention on Endpoint | Disable or Remove Feature or Program | Software Configuration,True
Non-Standard Port,2,Network Intrusion Prevention | Network Segmentation,True
Service Stop,5,Network Segmentation | Out-of-Band Communications Channel | Restrict File and Directory Permissions | Restrict Registry Permissions | User Account Management,True
Compute Hijacking,0,,False
Binary Padding,0,,False
Clear Command History,3,Environment Variable Permissions | Remote Data Storage | Restrict File and Directory Permissions,True
Bidirectional Communication,2,Network Intrusion Prevention | Restrict Web-Based Content,True
Domain Account,4,Multi-factor Authentication | Network Segmentation | Operating System Configuration | Privileged Account Management,True
Unix Shell,1,Execution Prevention,True
Domain Accounts,5,Multi-factor Authentication | Password Policies | Privileged Account Management | User Account Management | User Training,True
Digital Certificates,1,Pre-compromise,True
Local Groups,0,,False
Prevent Command History Logging,2,Environment Variable Permissions | Operating System Configuration,True
Compile After Delivery,0,,False
Compression,1,Antivirus/Antimalware,True
Dead Drop Resolver,2,Network Intrusion Prevention | Restrict Web-Based Content,True
Server,1,Pre-compromise,True
Internal Spearphishing,0,,False
Financial Theft,2,User Account Management | User Training,True
Remote System Discovery,0,,False
Create Account,4,Multi-factor Authentication | Network Segmentation | Operating System Configuration | Privileged Account Management,True
Logon Script (Windows),1,Restrict Registry Permissions,True
Local Storage Discovery,0,,False
Group Policy Preferences,3,Active Directory Configuration | Audit | Update Software,True
Exploitation of Remote Services,8,Application Isolation and Sandboxing | Disable or Remove Feature or Program | Exploit Protection | Network Segmentation | Privileged Account Management | Threat Intelligence Program | Update Software | Vulnerability Scanning,True
Timestomp,0,,False
OS Credential Dumping,9,Active Directory Configuration | Behavior Prevention on Endpoint | Credential Access Protection | Encrypt Sensitive Information | Operating System Configuration | Password Policies | Privileged Account Management | Privileged Process Integrity | User Training,True
Inhibit System Recovery,4,Data Backup | Execution Prevention | Operating System Configuration | User Account Management,True
Stage Capabilities,1,Pre-compromise,True
Disable or Modify System Firewall,4,Audit | Restrict File and Directory Permissions | Restrict Registry Permissions | User Account Management,True
Disk Structure Wipe,1,Data Backup,True
Data Encrypted for Impact,2,Behavior Prevention on Endpoint | Data Backup,True
Acquire Access,1,Pre-compromise,True
Screen Capture,0,,False
Domain Groups,0,,False
Process Injection,2,Behavior Prevention on Endpoint | Privileged Account Management,True
Asymmetric Cryptography,2,Network Intrusion Prevention | SSL/TLS Inspection,True
Malicious Link,3,Network Intrusion Prevention | Restrict Web-Based Content | User Training,True
Phishing,6,Antivirus/Antimalware | Audit | Network Intrusion Prevention | Restrict Web-Based Content | Software Configuration | User Training,True
Hidden Files and Directories,0,,False
Web Shell,2,Disable or Remove Feature or Program | User Account Management,True
Software Packing,1,Antivirus/Antimalware,True
Email Collection,4,Audit | Encrypt Sensitive Information | Multi-factor Authentication | Out-of-Band Communications Channel,True
Modify Registry,1,Restrict Registry Permissions,True
Shortcut Modification,3,Execution Prevention | Restrict File and Directory Permissions | User Account Management,True
Vulnerability Scanning,1,Pre-compromise,True
InstallUtil,2,Disable or Remove Feature or Program | Execution Prevention,True
Obfuscated Files or Information,4,Antivirus/Antimalware | Audit | Behavior Prevention on Endpoint | User Training,True
Databases,5,Audit | Encrypt Sensitive Information | Software Configuration | User Account Management | User Training,True
Keylogging,0,,False
Windows Remote Management,3,Disable or Remove Feature or Program | Network Segmentation | Privileged Account Management,True
Non-Application Layer Protocol,4,Audit | Filter Network Traffic | Network Intrusion Prevention | Network Segmentation,True
Compromise Software Supply Chain,2,Update Software | Vulnerability Scanning,True
LSA Secrets,3,Password Policies | Privileged Account Management | User Training,True
Rootkit,0,,False
Gather Victim Org Information,1,Pre-compromise,True
Upload Malware,1,Pre-compromise,True
Multi-hop Proxy,1,Filter Network Traffic,True
Replication Through Removable Media,3,Behavior Prevention on Endpoint | Disable or Remove Feature or Program | Limit Hardware Installation,True
Query Registry,0,,False
Password Cracking,2,Multi-factor Authentication | Password Policies,True
Remote Desktop Software,3,Disable or Remove Feature or Program | Execution Prevention | Filter Network Traffic,True
Clipboard Data,0,,False
