apt_group,first_seen,last_seen,years_active,total_unique_techniques
APT-C-36,2020,2026,2,33
APT1,2017,2020,3,20
APT12,2019,2020,2,5
APT16,2020,2020,1,1
APT17,2020,2020,1,2
APT18,2017,2020,3,12
APT19,2018,2023,3,20
APT28,2017,2026,9,92
APT29,2017,2024,7,62
APT3,2017,2024,6,43
APT30,2020,2020,1,2
APT32,2017,2023,6,76
APT33,2018,2020,3,30
APT37,2018,2021,4,29
APT38,2019,2025,4,55
APT39,2019,2024,4,52
APT41,2019,2024,5,80
APT42,2025,2026,2,31
APT5,2024,2025,2,29
Agrius,2024,2024,1,22
Ajax Security Team,2021,2021,1,6
Akira,2024,2024,1,17
Andariel,2021,2021,1,11
Aoqin Dragon,2022,2022,1,7
AppleJeus,2025,2025,1,2
Aquatic Panda,2022,2024,2,33
Axiom,2017,2022,4,16
BITTER,2022,2022,1,15
BRONZE BUTLER,2018,2020,2,39
BackdoorDiplomacy,2021,2021,1,13
BlackByte,2024,2024,1,47
BlackOasis,2018,2018,1,1
BlackTech,2020,2022,3,13
Blue Mockingbird,2020,2020,1,21
CURIUM,2023,2024,2,19
Carbanak,2017,2020,3,8
Chimera,2020,2021,2,58
Cinnamon Tempest,2023,2024,2,18
Cleaver,2017,2020,2,3
Cobalt Group,2018,2020,3,33
Confucius,2021,2022,2,19
Contagious Interview,2025,2025,1,50
CopyKittens,2018,2022,3,7
Daggerfly,2024,2024,1,17
Dark Caracal,2018,2018,1,12
DarkHydrus,2018,2019,2,6
DarkVishnya,2020,2020,1,9
Darkhotel,2017,2021,3,24
Deep Panda,2017,2019,3,10
Dragonfly,2020,2021,2,54
EXOTIC LILY,2022,2022,1,15
Earth Lusca,2022,2025,2,40
Elderwood,2018,2020,2,9
Ember Bear,2024,2024,1,45
Equation,2017,2020,3,4
Evilnum,2021,2021,1,11
FIN10,2017,2020,2,10
FIN13,2023,2023,1,51
FIN4,2019,2020,2,12
FIN5,2018,2018,1,10
FIN6,2017,2020,3,39
FIN7,2017,2025,8,65
FIN8,2018,2023,4,35
Ferocious Kitten,2021,2021,1,5
Fox Kitten,2020,2023,3,40
GALLIUM,2019,2021,2,30
GCMAN,2017,2020,2,2
GOLD SOUTHFIELD,2020,2020,1,9
Gallmaker,2019,2019,1,6
Gamaredon Group,2017,2025,6,69
Gorgon Group,2018,2019,2,15
Group5,2017,2017,1,4
HAFNIUM,2021,2025,3,43
HEXANE,2022,2024,2,34
Higaisa,2021,2025,2,28
INC Ransom,2024,2024,1,24
Inception,2020,2020,1,21
IndigoZebra,2021,2021,1,6
Indrik Spider,2021,2024,3,32
Ke3chang,2017,2025,6,44
Kimsuky,2019,2026,7,124
LAPSUS$,2022,2023,2,40
Lazarus Group,2017,2025,7,91
LazyScripter,2021,2022,2,19
Leafminer,2018,2020,2,16
Leviathan,2018,2025,5,47
Lotus Blossom,2025,2025,1,20
LuminousMoth,2023,2023,1,25
Machete,2019,2021,3,11
Magic Hound,2018,2024,7,74
Malteiro,2024,2024,1,12
Medusa Group,2025,2025,1,56
Metador,2023,2023,1,7
MirrorFace,2026,2026,1,41
Moafee,2017,2017,1,1
Mofang,2020,2025,2,6
Molerats,2017,2020,2,16
Moonstone Sleet,2024,2024,1,29
Moses Staff,2022,2022,1,10
MoustachedBouncer,2023,2023,1,8
MuddyWater,2018,2026,6,66
Mustang Panda,2021,2025,4,81
Mustard Tempest,2023,2024,2,12
Naikon,2017,2021,3,14
Nomadic Octopus,2021,2021,1,7
OilRig,2017,2025,7,74
Orangeworm,2018,2018,1,2
PLATINUM,2018,2019,2,11
POLONIUM,2022,2022,1,6
PROMETHIUM,2020,2020,1,11
Patchwork,2017,2025,5,39
PittyTiger,2017,2017,1,1
Play,2024,2024,1,24
Poseidon Group,2017,2020,2,8
Putter Panda,2017,2017,1,4
RTM,2017,2020,2,7
Rancor,2018,2024,4,9
RedCurl,2024,2024,1,40
RedEcho,2024,2024,1,5
Rocke,2020,2020,1,36
Saint Bear,2024,2024,1,18
Salt Typhoon,2025,2025,1,12
Sandworm Team,2020,2024,5,74
Scarlet Mimic,2019,2019,1,1
Scattered Spider,2023,2025,3,62
Sea Turtle,2024,2025,2,25
SideCopy,2022,2022,1,15
Sidewinder,2021,2023,2,28
Silence,2019,2020,2,27
Silent Librarian,2021,2021,1,12
SilverTerrier,2019,2023,3,4
Sowbug,2018,2018,1,9
Star Blizzard,2024,2026,2,17
Stealth Falcon,2017,2020,2,16
Storm-0501,2025,2025,1,42
Storm-1811,2025,2025,1,30
Strider,2017,2020,2,3
Suckfly,2017,2017,1,5
TA2541,2023,2025,2,26
TA459,2018,2018,1,5
TA505,2019,2023,5,32
TA551,2021,2021,1,14
TA577,2024,2024,1,6
TA578,2024,2024,1,4
TeamTNT,2021,2025,4,55
The White Company,2019,2019,1,7
Threat Group-1314,2017,2017,1,4
Threat Group-3390,2017,2025,8,56
Thrip,2018,2018,1,3
ToddyCat,2024,2024,1,25
Tonto Team,2021,2021,1,15
Transparent Tribe,2021,2021,1,13
Tropic Trooper,2019,2025,3,40
Turla,2017,2024,7,64
UNC3886,2025,2025,1,46
VOID MANTICORE,2026,2026,1,60
Velvet Ant,2025,2025,1,22
Volatile Cedar,2021,2022,2,5
Volt Typhoon,2023,2025,3,79
WIRTE,2019,2026,3,25
Water Galura,2025,2025,1,3
Whitefly,2020,2020,1,8
Windigo,2021,2021,1,7
Windshift,2020,2021,2,19
Winnti Group,2017,2022,2,6
Winter Vivern,2024,2024,1,27
Wizard Spider,2020,2023,2,62
ZIRCONIUM,2021,2025,4,28
admin@338,2017,2019,2,12
