technique,avg_velocity,max_velocity,peak_year,peak_groups,total_groups,years_tracked,spread_rate
Impersonation,2.333,5.0,2026,8,15,4,3.75
Local Storage Discovery,1.5,5.0,2025,6,10,4,2.5
Data from Cloud Storage,1.0,2.0,2025,3,5,3,1.67
Disable or Modify System Firewall,1.0,3.0,2025,5,13,5,2.6
Malicious Copy and Paste,1.0,1.0,2026,2,3,2,1.5
Remote Services,1.0,1.0,2024,2,3,2,1.5
Email Addresses,0.833,5.0,2021,6,14,4,3.5
Credentials In Files,0.7,3.0,2024,4,14,6,2.33
Network Sniffing,0.667,2.0,2025,3,8,4,2.0
Steal Web Session Cookie,0.667,2.0,2025,3,8,4,2.0
Mail Protocols,0.533,2.0,2020,3,6,4,1.5
Exfiltration Over Unencrypted Non-C2 Protocol,0.5,2.0,2025,3,11,5,2.2
Indicator Removal,0.5,1.0,2025,2,4,3,1.33
Password Managers,0.5,2.0,2025,3,7,5,1.4
Prevent Command History Logging,0.5,1.0,2025,2,4,3,1.33
RC Scripts,0.5,0.5,2025,2,3,2,1.5
Reflective Code Loading,0.5,1.0,2025,2,4,3,1.33
Asymmetric Cryptography,0.4,2.0,2025,3,11,6,1.83
Digital Certificates,0.4,3.0,2025,4,11,6,1.83
Compile After Delivery,0.375,1.0,2020,2,4,3,1.33
Bidirectional Communication,0.333,3.0,2022,4,16,7,2.29
Binary Padding,0.333,2.0,2018,3,8,5,1.6
Data Transfer Size Limits,0.333,1.0,2024,2,5,4,1.25
Domain Accounts,0.333,4.0,2024,7,19,7,2.71
Establish Accounts,0.333,1.0,2025,2,5,4,1.25
Gather Victim Network Information,0.333,0.333,2024,2,3,2,1.5
Internal Spearphishing,0.333,1.0,2026,2,6,4,1.5
Multi-Factor Authentication Interception,0.333,1.0,2022,2,4,3,1.33
Search Victim-Owned Websites,0.333,1.0,2024,2,6,4,1.5
Windows Credential Manager,0.333,1.0,2020,2,4,3,1.33
Process Hollowing,0.3,2.0,2018,3,8,6,1.33
Non-Application Layer Protocol,0.286,1.0,2025,3,12,8,1.5
Lateral Tool Transfer,0.278,3.0,2024,5,19,7,2.71
Remote Desktop Software,0.278,2.0,2025,3,11,7,1.57
Multi-hop Proxy,0.267,1.0,2025,3,11,6,1.83
